Pk,Rookie_WS,Sophomore_WS,Third_WS,Sophomore_AVG,Third_AVG
34,0.6177355896351135,1.1899492332099417,1.4443849814912741,0.9038424114225275,1.08402326811211
35,0.5923744050766789,1.141903754627181,1.3907271285034368,0.8671390798519301,1.0416684294024323
36,0.5670132205182442,1.0938582760444209,1.3370692755156,0.8304357482813327,0.999313590692755
37,0.5416520359598096,1.0458127974616604,1.2834114225277626,0.793732416710735,0.9569587519830776
38,0.5162908514013749,0.9977673188789001,1.2297535695399258,0.7570290851401376,0.9146039132734003
39,0.4909296668429402,0.9497218402961398,1.1760957165520884,0.72032575356954,0.8722490745637229
40,0.46556848228450554,0.9016763617133791,1.1224378635642516,0.6836224219989423,0.8298942358540453
41,0.4402072977260708,0.8536308831306186,1.0687800105764143,0.6469190904283448,0.7875393971443679
42,0.41484611316763614,0.8055854045478583,1.0151221575885772,0.6102157588577473,0.7451845584346906
43,0.38948492860920153,0.7575399259650979,0.96146430460074,0.5735124272871497,0.7028297197250131
44,0.3641237440507668,0.7094944473823375,0.9078064516129029,0.5368090957165521,0.6604748810153358
45,0.33876255949233214,0.6614489687995772,0.854148598625066,0.5001057641459546,0.6181200423056584
46,0.3134013749338974,0.6134034902168168,0.8004907456372287,0.4634024325753572,0.575765203595981
47,0.2880401903754628,0.565358011634056,0.7468328926493918,0.4266991010047594,0.5334103648863036
48,0.2626790058170279,0.5173125330512957,0.6931750396615545,0.38999576943416175,0.49105552617662596
49,0.23731782125859321,0.4692670544685352,0.6395171866737173,0.35329243786356423,0.4487006874669485
50,0.21195663670015855,0.42122157588577486,0.5858593336858803,0.3165891062929667,0.40634584875727126
51,0.18659545214172385,0.3731760973030145,0.5322014806980431,0.2798857747223692,0.36399101004759377
52,0.16123426758328918,0.3251306187202541,0.4785436277102061,0.24318244315177165,0.32163617133791644
53,0.1358730830248545,0.2770851401374937,0.4248857747223688,0.2064791115811741,0.279281332628239
54,0.11051189846641982,0.229039661554733,0.3712279217345319,0.16977578001057642,0.23692649391856163
55,0.08515071390798515,0.18099418297197262,0.31757006874669463,0.13307244843997887,0.19457165520888411
56,0.059789529349550466,0.13294870438921222,0.26391221575885737,0.09636911686938135,0.15221681649920668
57,0.03442834479111578,0.08490322580645185,0.21025436277102044,0.059665785298783816,0.10986197778952936
58,0.0090671602326811,0.036857747223691464,0.15659650978318318,0.02296245372818628,0.06750713907985192
59,-0.01629402432575357,-0.01118773135906892,0.10293865679534626,-0.01374087784241124,0.02515230037017459
60,-0.04165520888418825,-0.059233209941829304,0.04928080380750899,-0.05044420941300878,-0.017202538339502853
