Season,Team Acquiring,Acquired Player,Team Losing,Acquisition Type,Acquiring GM,Losing GM,Year 2,Helper,AAV
2022,PHO,Landry Shamet,BRK,Trade,James Jones,Sean Marks,2023,2022Landry Shamet,9.5
2022,IND,Isaiah Jackson,LAL,Trade,Chad Buchanan,Rob Pelinka,2023,2022Isaiah Jackson,2.3
2022,LAL,Russell Westbrook,WAS,Trade,Rob Pelinka,Tommy Sheppard,2023,2022Russell Westbrook,47.1
2022,SAS,Chandler Hutchison,WAS,Trade,Brian Wright,Tommy Sheppard,2023,2022Chandler Hutchison,1.1
2022,WAS,Kentavious Caldwell-Pope,LAL,Trade,Tommy Sheppard,Rob Pelinka,2023,2022Kentavious Caldwell-Pope,13
2022,WAS,Spencer Dinwiddie,BRK,Trade,Tommy Sheppard,Sean Marks,2023,2022Spencer Dinwiddie,18
2022,WAS,Montrezl Harrell,LAL,Trade,Tommy Sheppard,Rob Pelinka,2023,2022Montrezl Harrell,2.4
2022,WAS,Aaron Holiday,IND,Trade,Tommy Sheppard,Chad Buchanan,2023,2022Aaron Holiday,1.9
2022,WAS,Kyle Kuzma,LAL,Trade,Tommy Sheppard,Rob Pelinka,2023,2022Kyle Kuzma,13
2022,CHO,Wes Iwundu,NOP,Trade,Mitch Kupchak,Trajan Langdon,2023,2022Wes Iwundu,1.7
2022,MEM,Steven Adams,NOP,Trade,Zach Kleiman,Trajan Langdon,2023,2022Steven Adams,17.9
2022,MEM,Eric Bledsoe,NOP,Trade,Zach Kleiman,Trajan Langdon,2023,2022Eric Bledsoe,3.9
2022,NOP,Devonte' Graham,CHO,Trade,Trajan Langdon,Mitch Kupchak,2023,2022Devonte' Graham,11
2022,NOP,Jonas Valanciunas,MEM,Trade,Trajan Langdon,Zach Kleiman,2023,2022Jonas Valanciunas,14.7
2022,MEM,Santi Aldama,UTA,Trade,Zach Kleiman,Justin Zanik,2023,2022Santi Aldama,1.9
2022,UTA,Jared Butler,MEM,Trade,Justin Zanik,Zach Kleiman,2023,2022Jared Butler,1.5
2022,LAC,Brandon Boston Jr.,NOP,Trade,Michael Winger,Trajan Langdon,2023,2022Brandon Boston Jr.,1
2022,HOU,Daniel Theis,CHI,Trade,Rafael Stone,Marc Eversley,2023,2022Daniel Theis,8.6
2022,UTA,Eric Paschall,GSW,Trade,Justin Zanik,Bob Myers,2023,2022Eric Paschall,1.9
2022,SAS,Doug McDermott,IND,Trade,Brian Wright,Chad Buchanan,2023,2022Doug McDermott,13.8
2022,ATL,Delon Wright,SAC,Trade,Travis Schlenk,Monte McNair,2023,2022Delon Wright,8
2022,BOS,Kris Dunn,ATL,Trade,Brad Stevens,Travis Schlenk,2023,2022Kris Dunn,4
2022,BOS,Bruno Fernando,ATL,Trade,Brad Stevens,Travis Schlenk,2023,2022Bruno Fernando,1.8
2022,SAC,Tristan Thompson,BOS,Trade,Monte McNair,Brad Stevens,2023,2022Tristan Thompson,9.7
2022,MEM,Sam Merrill,MIL,Trade,Zach Kleiman,Jon Horst,2023,2022Sam Merrill,1.6
2022,MIL,Grayson Allen,MEM,Trade,Jon Horst,Zach Kleiman,2023,2022Grayson Allen,8.5
2022,CHI,Lonzo Ball,NOP,Trade,Marc Eversley,Trajan Langdon,2023,2022Lonzo Ball,19.5
2022,NOP,Tomas Satoransky,CHI,Trade,Trajan Langdon,Marc Eversley,2023,2022Tomas Satoransky,3.3
2022,NOP,Garrett Temple,CHI,Trade,Trajan Langdon,Marc Eversley,2023,2022Garrett Temple,4.9
2022,CHI,DeMar DeRozan,SAS,Trade,Marc Eversley,Brian Wright,2023,2022DeMar DeRozan,26
2022,SAS,Al-Farouq Aminu,CHI,Trade,Brian Wright,Marc Eversley,2023,2022Al-Farouq Aminu,10.2
2022,SAS,Thaddeus Young,CHI,Trade,Brian Wright,Marc Eversley,2023,2022Thaddeus Young,8.3
2022,LAC,Eric Bledsoe,MEM,Trade,Michael Winger,Zach Kleiman,2023,2022Eric Bledsoe,3.9
2022,MEM,Patrick Beverley,LAC,Trade,Zach Kleiman,Michael Winger,2023,2022Patrick Beverley,13
2022,MEM,Rajon Rondo,LAC,Trade,Zach Kleiman,Michael Winger,2023,2022Rajon Rondo,1.8
2022,NYK,Evan Fournier,BOS,Trade,Scott Perry,Brad Stevens,2023,2022Evan Fournier,17.1
2022,MEM,Jarrett Culver,MIN,Trade,Zach Kleiman,Sachin Gupta,2023,2022Jarrett Culver,1
2022,MEM,Juancho Hernangómez,MIN,Trade,Zach Kleiman,Sachin Gupta,2023,2022Juancho Hernangómez,2.3
2022,MIN,Patrick Beverley,MEM,Trade,Sachin Gupta,Zach Kleiman,2023,2022Patrick Beverley,13
2022,CHI,Derrick Jones Jr.,POR,Trade,Marc Eversley,Joe Cronin,2023,2022Derrick Jones Jr.,3.3
