Pk,Tm,Player,Year,Rookie Year,Sophomore Year,Third Year
53,MIN,Alessandro Gentile,2014,2015,2016,2017
54,PHI,Nemanja DangubiÄ,2014,2015,2016,2017
55,MIA,Semaj Christon,2014,2015,2016,2017
56,DEN,Devyn Marble,2014,2015,2016,2017
57,IND,Louis Labeyrie,2014,2015,2016,2017
58,SAS,Jordan McRae,2014,2015,2016,2017
59,TOR,Xavier Thames,2014,2015,2016,2017
60,SAS,Cory Jefferson,2014,2015,2016,2017
1,MIN,Karl-Anthony Towns,2015,2016,2017,2018
2,LAL,D'Angelo Russell,2015,2016,2017,2018
3,PHI,Jahlil Okafor,2015,2016,2017,2018
4,NYK,Kristaps PorziÅÄ£is,2015,2016,2017,2018
5,ORL,Mario Hezonja,2015,2016,2017,2018
6,SAC,Willie Cauley-Stein,2015,2016,2017,2018
7,DEN,Emmanuel Mudiay,2015,2016,2017,2018
8,DET,Stanley Johnson,2015,2016,2017,2018
9,CHO,Frank Kaminsky,2015,2016,2017,2018
10,MIA,Justise Winslow,2015,2016,2017,2018
11,IND,Myles Turner,2015,2016,2017,2018
12,UTA,Trey Lyles,2015,2016,2017,2018
13,PHO,Devin Booker,2015,2016,2017,2018
14,OKC,Cameron Payne,2015,2016,2017,2018
15,ATL,Kelly Oubre Jr.,2015,2016,2017,2018
16,BOS,Terry Rozier,2015,2016,2017,2018
17,MIL,Rashad Vaughn,2015,2016,2017,2018
18,HOU,Sam Dekker,2015,2016,2017,2018
19,WAS,Jerian Grant,2015,2016,2017,2018
20,TOR,Delon Wright,2015,2016,2017,2018
21,DAL,Justin Anderson,2015,2016,2017,2018
22,CHI,Bobby Portis,2015,2016,2017,2018
23,POR,Rondae Hollis-Jefferson,2015,2016,2017,2018
24,CLE,Tyus Jones,2015,2016,2017,2018
25,MEM,Jarell Martin,2015,2016,2017,2018
26,SAS,Nikola Milutinov,2015,2016,2017,2018
27,LAL,Larry Nance Jr.,2015,2016,2017,2018
28,BOS,R.J. Hunter,2015,2016,2017,2018
29,BRK,Chris McCullough,2015,2016,2017,2018
30,GSW,Kevon Looney,2015,2016,2017,2018
,,Round 2,2015,2016,2017,2018
Pk,Tm,Player,2015,2016,2017,2018
31,MIN,Cedi Osman,2015,2016,2017,2018
32,HOU,Montrezl Harrell,2015,2016,2017,2018
33,BOS,Jordan Mickey,2015,2016,2017,2018
34,LAL,Anthony Brown,2015,2016,2017,2018
35,PHI,Willy HernangÃ³mez,2015,2016,2017,2018
36,MIN,Rakeem Christmas,2015,2016,2017,2018
37,PHI,Richaun Holmes,2015,2016,2017,2018
