Player,Team,Pos,WS,WS/48,Year
Dragan Bender,PHO,PF,-0.3,-0.029,2017
Dragan Bender,PHO,PF,0.1,0.001,2018
Dragan Bender,PHO,PF,0.5,0.027,2019
Dragan Bender,2TM,PF,0.3,0.052,2020
Draymond Green,GSW,SF,0.6,0.028,2013
Draymond Green,GSW,SF,4.5,0.119,2014
Draymond Green,GSW,PF,8.5,0.163,2015
Draymond Green,GSW,PF,11.1,0.19,2016
Draymond Green,GSW,PF,8.2,0.16,2017
Draymond Green,GSW,PF,6.1,0.127,2018
Draymond Green,GSW,PF,4.3,0.1,2019
Draymond Green,GSW,PF,1.1,0.044,2020
Draymond Green,GSW,PF,4.6,0.112,2021
Draymond Green,GSW,PF,3.6,0.131,2022
Draymond Green,GSW,PF,4.7,0.098,2023
Draymond Green,GSW,PF,3.6,0.116,2024
Drew Eubanks,SAS,PF,0.3,0.12,2019
Drew Eubanks,SAS,C,0.8,0.134,2020
Drew Eubanks,SAS,C,2.3,0.145,2021
Drew Eubanks,2TM,C,3.4,0.13,2022
Drew Eubanks,POR,C,4.4,0.134,2023
Drew Eubanks,PHO,C,3.1,0.129,2024
Drew Gooden,MIL,C,3.6,0.116,2012
Drew Gooden,MIL,C,-0.1,-0.034,2013
Drew Gooden,WAS,C,1.4,0.173,2014
Drew Gooden,WAS,PF,1.7,0.094,2015
Drew Gooden,WAS,PF,0.0,-0.005,2016
Drew Gordon,PHI,PF,-0.1,-0.093,2015
Drew Peterson,BOS,PF,0.1,0.194,2024
Dru Smith,2TM,SG,0.3,0.099,2023
Dru Smith,MIA,SG,0.3,0.125,2024
Duane Washington Jr.,IND,PG,0.0,-0.002,2022
Duane Washington Jr.,PHO,SG,-0.5,-0.065,2023
Duje Dukan,SAC,SF,0.0,-0.057,2016
Duncan Robinson,MIA,SF,0.2,0.051,2019
Duncan Robinson,MIA,SG,5.3,0.118,2020
Duncan Robinson,MIA,SF,3.7,0.079,2021
Duncan Robinson,MIA,SG,3.9,0.092,2022
Duncan Robinson,MIA,SF,0.5,0.035,2023
Duncan Robinson,MIA,SF,3.6,0.091,2024
Duop Reath,POR,C,2.4,0.095,2024
Dusty Hannahs,MEM,SG,-0.1,-0.125,2019
Dusty Hannahs,MEM,SG,0.0,0.146,2020
Dwayne Bacon,CHO,SG,-0.1,-0.007,2018
Dwayne Bacon,CHO,SG,1.2,0.073,2019
Dwayne Bacon,CHO,SG,-0.8,-0.053,2020
Dwayne Bacon,ORL,SG,0.5,0.013,2021
Dwight Buycks,TOR,PG,0.0,-0.009,2014
Dwight Buycks,LAL,PG,0.1,0.027,2015
Dwight Buycks,DET,PG,0.2,0.027,2018
Dwight Howard,ORL,C,7.7,0.179,2012
Dwight Howard,LAL,C,7.6,0.134,2013
Dwight Howard,HOU,C,8.0,0.161,2014
Dwight Howard,HOU,C,3.6,0.14,2015
Dwight Howard,HOU,C,6.6,0.138,2016
Dwight Howard,ATL,C,8.3,0.181,2017
Dwight Howard,CHO,C,6.8,0.132,2018
Dwight Howard,WAS,C,0.6,0.124,2019
Dwight Howard,LAL,C,5.4,0.197,2020
Dwight Howard,PHI,C,4.0,0.159,2021
Dwight Howard,LAL,C,3.5,0.174,2022
Dwight Powell,2TM,PF,0.6,0.122,2015
Dwight Powell,DAL,PF,3.1,0.151,2016
Dwight Powell,DAL,C,4.6,0.165,2017
Dwight Powell,DAL,C,6.6,0.191,2018
Dwight Powell,DAL,C,7.5,0.215,2019
Dwight Powell,DAL,C,3.6,0.162,2020
Dwight Powell,DAL,C,3.8,0.188,2021
Dwight Powell,DAL,C,8.2,0.219,2022
Dwight Powell,DAL,C,5.1,0.168,2023
Dwight Powell,DAL,C,3.1,0.181,2024
Dwyane Wade,MIA,SG,7.7,0.227,2012
Dwyane Wade,MIA,SG,9.6,0.192,2013
Dwyane Wade,MIA,SG,5.5,0.149,2014
Dwyane Wade,MIA,SG,3.5,0.086,2015
Dwyane Wade,MIA,SG,4.9,0.105,2016
Dwyane Wade,CHI,SG,3.4,0.09,2017
Dwyane Wade,2TM,SG,1.1,0.036,2018
Dwyane Wade,MIA,SG,2.4,0.061,2019
Dylan Windler,CLE,SF,0.5,0.045,2021
Dylan Windler,CLE,SF,0.8,0.084,2022
Dylan Windler,CLE,SF,0.0,0.149,2023
Dylan Windler,3TM,SF,0.3,0.14,2024
Dyson Daniels,NOP,PG,1.3,0.061,2023
Dyson Daniels,NOP,PG,2.9,0.103,2024
DÄvis BertÄns,SAS,PF,2.3,0.135,2017
DÄvis BertÄns,SAS,PF,3.1,0.135,2018
DÄvis BertÄns,SAS,PF,4.0,0.118,2019
DÄvis BertÄns,WAS,PF,3.5,0.107,2020
DÄvis BertÄns,WAS,PF,3.1,0.101,2021
DÄvis BertÄns,2TM,PF,0.9,0.053,2022
DÄvis BertÄns,DAL,PF,0.9,0.09,2023
DÄvis BertÄns,2TM,PF,0.9,0.061,2024
DÅ¾anan Musa,BRK,SG,-0.1,-0.152,2019
DÅ¾anan Musa,BRK,SF,0.2,0.016,2020
E'Twaun Moore,BOS,PG,0.2,0.031,2012
E'Twaun Moore,ORL,SG,0.2,0.006,2013
E'Twaun Moore,ORL,SG,1.7,0.055,2014
E'Twaun Moore,CHI,SG,0.8,0.08,2015
E'Twaun Moore,CHI,SG,1.8,0.07,2016
E'Twaun Moore,NOP,SG,2.7,0.07,2017
E'Twaun Moore,NOP,SG,4.4,0.081,2018
E'Twaun Moore,NOP,SG,1.7,0.055,2019
E'Twaun Moore,NOP,SG,0.9,0.043,2020
E'Twaun Moore,PHO,SG,0.4,0.049,2021
E.J. Liddell,NOP,PF,0.0,-0.091,2024
Earl Barron,GSW,C,0.0,0.054,2012
Earl Barron,2TM,C,0.0,-0.003,2013
Earl Barron,PHO,C,0.0,-0.011,2015
Earl Boykins,HOU,PG,0.1,0.029,2012
Earl Clark,ORL,PF,0.3,0.027,2012
Earl Clark,LAL,PF,2.3,0.08,2013
Earl Clark,2TM,PF,0.3,0.02,2014
Earl Clark,BRK,PF,-0.1,-0.037,2015
Earl Watson,UTA,PG,0.4,0.018,2012
Earl Watson,UTA,PG,0.0,0.001,2013
Earl Watson,POR,PG,-0.1,-0.018,2014
Ed Davis,TOR,PF,3.9,0.121,2012
Ed Davis,2TM,PF,5.4,0.159,2013
Ed Davis,MEM,PF,2.6,0.129,2014
Ed Davis,LAL,PF,6.3,0.164,2015
Ed Davis,POR,PF,6.7,0.192,2016
Ed Davis,POR,PF,1.7,0.104,2017
Ed Davis,POR,C,5.0,0.164,2018
Ed Davis,BRK,C,5.7,0.191,2019
Ed Davis,UTA,C,0.6,0.102,2020
Ed Davis,MIN,C,0.8,0.135,2021
Ed Davis,CLE,C,0.5,0.126,2022
Eddy Curry,MIA,C,-0.1,-0.046,2012
Eddy Curry,DAL,C,-0.1,-0.146,2013
Edmond Sumner,IND,PG,0.0,0.425,2018
Edmond Sumner,IND,PG,0.1,0.02,2019
Edmond Sumner,IND,SG,0.4,0.047,2020
Edmond Sumner,IND,SG,1.4,0.077,2021
Edmond Sumner,BRK,SG,1.3,0.086,2023
Eduardo NÃ¡jera,CHA,PF,0.2,0.035,2012
Edwin Ubiles,WAS,SF,0.0,-0.026,2012
Edy Tavares,ATL,C,0.2,0.106,2016
Edy Tavares,2TM,C,0.1,0.15,2017
Ekpe Udoh,2TM,C,2.1,0.077,2012
Ekpe Udoh,MIL,C,2.7,0.098,2013
Ekpe Udoh,MIL,PF,0.0,0.0,2014
Ekpe Udoh,LAC,PF,0.3,0.101,2015
Ekpe Udoh,UTA,C,3.2,0.187,2018
Ekpe Udoh,UTA,C,1.6,0.238,2019
Elfrid Payton,ORL,PG,2.3,0.044,2015
Elfrid Payton,ORL,PG,2.2,0.05,2016
Elfrid Payton,ORL,PG,4.4,0.088,2017
Elfrid Payton,2TM,PG,2.8,0.075,2018
Elfrid Payton,NOP,PG,1.5,0.058,2019
Elfrid Payton,NYK,PG,1.7,0.065,2020
Elfrid Payton,NYK,PG,1.0,0.032,2021
Elfrid Payton,PHO,PG,-0.2,-0.014,2022
Elias Harris,LAL,SF,0.0,0.018,2014
Elie Okobo,PHO,PG,-0.5,-0.027,2019
Elie Okobo,PHO,PG,1.0,0.067,2020
Elijah Bryant,MIL,SG,0.0,0.008,2021
Elijah Hughes,UTA,SF,0.0,-0.013,2021
Elijah Hughes,2TM,SG,-0.4,-0.043,2022
Elijah Millsap,UTA,SG,0.4,0.02,2015
Elijah Millsap,UTA,SG,0.1,0.033,2016
Elijah Millsap,PHO,SG,-0.1,-0.233,2017
Elliot Williams,POR,SG,0.3,0.105,2012
Elliot Williams,PHI,SG,0.3,0.014,2014
Elliot Williams,2TM,SG,0.1,0.039,2015
Elliot Williams,MEM,PG,0.0,-0.046,2016
Elton Brand,PHI,C,6.1,0.168,2012
Elton Brand,DAL,C,3.4,0.107,2013
Elton Brand,ATL,C,3.6,0.121,2014
Elton Brand,ATL,C,0.7,0.07,2015
Elton Brand,PHI,C,0.2,0.036,2016
Emanuel Terry,2TM,PF,0.1,0.117,2019
Emanuel Terry,PHO,PF,-0.1,-0.256,2022
Emeka Okafor,NOH,C,1.7,0.103,2012
Emeka Okafor,WAS,C,4.5,0.104,2013
Emeka Okafor,NOP,C,1.0,0.14,2018
Emmanuel Mudiay,DEN,PG,-2.1,-0.049,2016
Emmanuel Mudiay,DEN,PG,0.2,0.006,2017
Emmanuel Mudiay,2TM,PG,0.0,-0.002,2018
Emmanuel Mudiay,NYK,PG,0.8,0.023,2019
Emmanuel Mudiay,UTA,PG,1.0,0.057,2020
Emmanuel Mudiay,SAC,PG,0.0,0.023,2022
Emoni Bates,CLE,SF,-0.3,-0.092,2024
Enes Freedom,UTA,C,1.7,0.095,2012
Enes Freedom,UTA,C,2.3,0.101,2013
Enes Freedom,UTA,C,2.2,0.05,2014
Enes Freedom,2TM,C,6.4,0.145,2015
Enes Freedom,OKC,C,8.1,0.226,2016
Enes Freedom,OKC,C,5.8,0.183,2017
Enes Freedom,NYK,C,7.6,0.198,2018
Enes Freedom,2TM,C,5.4,0.159,2019
Enes Freedom,BOS,C,4.4,0.214,2020
Enes Freedom,POR,C,7.5,0.204,2021
Enes Freedom,BOS,C,1.4,0.16,2022
Eric Bledsoe,LAC,PG,0.2,0.022,2012
Eric Bledsoe,LAC,PG,3.7,0.115,2013
Eric Bledsoe,PHO,PG,4.1,0.14,2014
Eric Bledsoe,PHO,PG,7.0,0.119,2015
Eric Bledsoe,PHO,PG,2.5,0.116,2016
Eric Bledsoe,PHO,PG,5.3,0.118,2017
Eric Bledsoe,2TM,PG,5.6,0.116,2018
Eric Bledsoe,MIL,PG,8.2,0.173,2019
Eric Bledsoe,MIL,PG,5.4,0.157,2020
Eric Bledsoe,NOP,SG,2.3,0.053,2021
Eric Bledsoe,LAC,PG,1.3,0.047,2022
Eric Dawson,SAS,C,0.1,0.106,2012
Eric Gordon,NOH,SG,0.7,0.115,2012
Eric Gordon,NOH,SG,1.1,0.042,2013
Eric Gordon,NOP,SG,2.5,0.058,2014
Eric Gordon,NOP,SG,2.9,0.069,2015
Eric Gordon,NOP,SG,2.1,0.069,2016
Eric Gordon,HOU,SG,3.8,0.079,2017
Eric Gordon,HOU,SG,4.7,0.105,2018
Eric Gordon,HOU,SG,2.6,0.059,2019
Eric Gordon,HOU,SF,0.5,0.024,2020
Eric Gordon,HOU,SG,0.8,0.048,2021
Eric Gordon,HOU,SG,1.4,0.04,2022
Eric Gordon,2TM,SG,2.3,0.056,2023
Eric Gordon,PHO,SG,2.5,0.063,2024
Eric Maynor,OKC,PG,0.1,0.037,2012
Eric Maynor,2TM,PG,0.2,0.008,2013
Eric Maynor,2TM,PG,-0.4,-0.058,2014
Eric Mika,SAC,C,0.1,0.218,2020
Eric Moreland,SAC,PF,0.0,0.431,2015
Eric Moreland,SAC,PF,0.0,0.012,2016
Eric Moreland,DET,PF,2.3,0.135,2018
Eric Moreland,2TM,PF,0.0,0.032,2019
Eric Paschall,GSW,PF,2.1,0.062,2020
Eric Paschall,GSW,PF,0.9,0.062,2021
Eric Paschall,UTA,PF,2.0,0.127,2022
Erick Dampier,ATL,C,0.1,0.035,2012
Erick Green,DEN,PG,0.0,0.0,2015
Erick Green,2TM,PG,0.1,0.121,2016
Erik McCree,UTA,SF,-0.1,-0.334,2018
Erik Murphy,CHI,C,-0.1,-0.055,2014
Ersan Ä°lyasova,MIL,PF,6.4,0.185,2012
Ersan Ä°lyasova,MIL,PF,6.7,0.159,2013
Ersan Ä°lyasova,MIL,PF,1.6,0.053,2014
Ersan Ä°lyasova,MIL,PF,4.0,0.146,2015
Ersan Ä°lyasova,2TM,PF,4.4,0.113,2016
Ersan Ä°lyasova,3TM,PF,4.1,0.091,2017
Ersan Ä°lyasova,2TM,PF,4.0,0.112,2018
Ersan Ä°lyasova,MIL,PF,3.0,0.119,2019
Ersan Ä°lyasova,MIL,PF,3.6,0.174,2020
Ersan Ä°lyasova,UTA,PF,0.4,0.122,2021
Eugene Omoruyi,DAL,SF,0.1,0.201,2022
Eugene Omoruyi,2TM,SF,0.6,0.042,2023
Eugene Omoruyi,WAS,SF,0.6,0.074,2024
Evan Fournier,DEN,SG,1.0,0.115,2013
Evan Fournier,DEN,SG,1.4,0.043,2014
Evan Fournier,ORL,SG,2.1,0.059,2015
Evan Fournier,ORL,SF,5.7,0.106,2016
Evan Fournier,ORL,SG,2.8,0.059,2017
Evan Fournier,ORL,SF,3.3,0.087,2018
Evan Fournier,ORL,SG,3.2,0.061,2019
Evan Fournier,ORL,SF,4.6,0.106,2020
Evan Fournier,2TM,SF,2.8,0.107,2021
Evan Fournier,NYK,SG,3.7,0.075,2022
Evan Fournier,NYK,SG,0.1,0.01,2023
Evan Fournier,2TM,SG,-0.1,-0.005,2024
Evan Mobley,CLE,PF,5.2,0.107,2022
Evan Mobley,CLE,PF,8.5,0.151,2023
Evan Mobley,CLE,PF,5.5,0.174,2024
Evan Turner,PHI,SF,2.4,0.068,2012
Evan Turner,PHI,SF,2.1,0.035,2013
Evan Turner,2TM,SF,1.4,0.027,2014
Evan Turner,BOS,SG,2.5,0.054,2015
Evan Turner,BOS,SG,4.0,0.085,2016
Evan Turner,POR,SF,1.2,0.035,2017
Evan Turner,POR,SF,2.6,0.061,2018
Evan Turner,POR,PG,2.0,0.06,2019
Evan Turner,ATL,SG,-0.3,-0.064,2020
Fab Melo,BOS,C,0.0,0.021,2013
Facundo Campazzo,DEN,PG,3.1,0.105,2021
Facundo Campazzo,DEN,PG,2.0,0.081,2022
Facundo Campazzo,DAL,PG,0.0,-0.012,2023
Feron Hunt,NYK,SF,0.0,-0.234,2022
Festus Ezeli,GSW,C,1.5,0.066,2013
Festus Ezeli,GSW,C,1.7,0.159,2015
Festus Ezeli,GSW,C,2.7,0.171,2016
Filip PetruÅ¡ev,2TM,C,0.0,0.029,2024
Francisco Elson,PHI,C,0.0,-0.026,2012
Francisco GarcÃ­a,SAC,SF,0.8,0.048,2012
Francisco GarcÃ­a,2TM,SF,1.3,0.059,2013
Francisco GarcÃ­a,HOU,SF,1.8,0.078,2014
Francisco GarcÃ­a,HOU,SF,-0.2,-0.044,2015
Frank Jackson,NOP,PG,0.4,0.018,2019
Frank Jackson,NOP,PG,0.2,0.01,2020
Frank Jackson,DET,PG,1.2,0.076,2021
Frank Jackson,DET,PG,0.7,0.031,2022
Frank Jackson,UTA,PG,0.0,-0.378,2023
Frank Kaminsky,CHO,C,3.3,0.093,2016
Frank Kaminsky,CHO,C,2.3,0.056,2017
Frank Kaminsky,CHO,PF,3.6,0.094,2018
Frank Kaminsky,CHO,C,1.8,0.114,2019
Frank Kaminsky,PHO,C,1.4,0.087,2020
Frank Kaminsky,PHO,C,2.0,0.133,2021
Frank Kaminsky,PHO,C,0.9,0.228,2022
Frank Kaminsky,2TM,C,0.7,0.141,2023
Frank Mason III,SAC,PG,0.5,0.027,2018
Frank Mason III,SAC,PG,0.3,0.033,2019
Frank Mason III,MIL,PG,0.4,0.143,2020
Frank Mason III,ORL,PG,0.0,-0.018,2021
Frank Ntilikina,NYK,PG,-0.9,-0.026,2018
Frank Ntilikina,NYK,PG,-0.8,-0.045,2019
Frank Ntilikina,NYK,PG,0.9,0.037,2020
Frank Ntilikina,NYK,PG,0.5,0.07,2021
Frank Ntilikina,DAL,SG,0.9,0.065,2022
Frank Ntilikina,DAL,SG,-0.1,-0.01,2023
Frank Ntilikina,CHO,PG,-0.1,-0.099,2024
Franz Wagner,ORL,SF,4.0,0.079,2022
Franz Wagner,ORL,SF,5.4,0.099,2023
Franz Wagner,ORL,SF,6.4,0.131,2024
Fred VanVleet,TOR,PG,0.2,0.04,2017
Fred VanVleet,TOR,PG,4.7,0.149,2018
Fred VanVleet,TOR,PG,4.3,0.117,2019
Fred VanVleet,TOR,SG,5.8,0.145,2020
Fred VanVleet,TOR,SG,4.3,0.108,2021
Fred VanVleet,TOR,PG,6.7,0.131,2022
Fred VanVleet,TOR,PG,6.5,0.123,2023
Fred VanVleet,HOU,PG,8.4,0.15,2024
Freddie Gillespie,TOR,PF,0.9,0.116,2021
Freddie Gillespie,ORL,PF,0.1,0.049,2022
Furkan Aldemir,PHI,PF,1.4,0.122,2015
Furkan Korkmaz,PHI,SG,0.0,-0.006,2018
Furkan Korkmaz,PHI,SG,1.1,0.079,2019
Furkan Korkmaz,PHI,SG,2.8,0.085,2020
Furkan Korkmaz,PHI,SG,2.0,0.092,2021
Furkan Korkmaz,PHI,SG,1.2,0.041,2022
Furkan Korkmaz,PHI,SG,0.1,0.019,2023
Furkan Korkmaz,PHI,SG,0.4,0.057,2024
GG Jackson II,MEM,PF,1.2,0.048,2024
Gabe Vincent,MIA,PG,-0.2,-0.117,2020
Gabe Vincent,MIA,PG,0.2,0.011,2021
Gabe Vincent,MIA,PG,2.5,0.076,2022
Gabe Vincent,MIA,PG,1.4,0.038,2023
Gabe Vincent,LAL,PG,-0.1,-0.033,2024
Gabe York,IND,SG,0.0,0.059,2022
Gabe York,IND,SG,0.1,0.091,2023
Gabriel Deck,OKC,PF,0.5,0.12,2021
Gabriel Deck,OKC,PF,0.1,0.08,2022
Gabriel Lundberg,PHO,SG,0.0,-0.005,2022
Gal Mekel,DAL,PG,-0.4,-0.073,2014
Gal Mekel,NOP,PG,-0.2,-0.238,2015
Garrett Temple,WAS,SG,1.2,0.049,2013
Garrett Temple,WAS,SG,0.3,0.025,2014
Garrett Temple,WAS,SG,1.5,0.1,2015
Garrett Temple,WAS,SF,2.7,0.066,2016
Garrett Temple,SAC,SG,2.2,0.061,2017
Garrett Temple,SAC,SG,1.2,0.035,2018
Garrett Temple,2TM,SG,2.2,0.052,2019
Garrett Temple,BRK,SG,2.4,0.066,2020
Garrett Temple,CHI,SG,1.6,0.05,2021
Garrett Temple,NOP,SG,0.8,0.037,2022
Garrett Temple,NOP,SG,0.3,0.094,2023
Garrett Temple,TOR,SG,0.2,0.032,2024
Garrison Mathews,WAS,SG,0.6,0.131,2020
Garrison Mathews,WAS,SG,2.3,0.108,2021
Garrison Mathews,HOU,SG,2.8,0.078,2022
Garrison Mathews,2TM,SG,1.0,0.067,2023
Garrison Mathews,ATL,SG,1.6,0.077,2024
Gary Clark,HOU,PF,1.0,0.071,2019
Gary Clark,2TM,PF,1.2,0.1,2020
Gary Clark,3TM,SF,0.1,0.008,2021
Gary Clark,NOP,PF,0.7,0.092,2022
Gary Forbes,TOR,SG,0.8,0.053,2012
Gary Harris,DEN,SG,-0.7,-0.046,2015
Gary Harris,DEN,SG,4.0,0.079,2016
Gary Harris,DEN,SG,4.6,0.124,2017
Gary Harris,DEN,SG,5.5,0.114,2018
Gary Harris,DEN,SG,2.6,0.076,2019
Gary Harris,DEN,SG,1.9,0.052,2020
Gary Harris,2TM,SG,0.7,0.033,2021
Gary Harris,ORL,SG,2.2,0.06,2022
Gary Harris,ORL,SG,2.3,0.095,2023
Gary Harris,ORL,SG,2.7,0.099,2024
Gary Neal,SAS,SG,2.5,0.101,2012
Gary Neal,SAS,SG,1.9,0.06,2013
Gary Neal,2TM,SG,1.0,0.041,2014
Gary Neal,2TM,SG,0.6,0.023,2015
Gary Neal,WAS,SG,1.4,0.085,2016
Gary Neal,ATL,SG,-0.1,-0.189,2017
Gary Payton II,MIL,PG,-0.2,-0.074,2017
Gary Payton II,2TM,PG,0.2,0.041,2018
Gary Payton II,WAS,PG,0.1,0.358,2019
Gary Payton II,WAS,SF,0.5,0.051,2020
Gary Payton II,GSW,PG,0.3,0.331,2021
Gary Payton II,GSW,SG,5.2,0.199,2022
Gary Payton II,2TM,SG,1.0,0.125,2023
Gary Payton II,GSW,SG,1.8,0.125,2024
Gary Trent Jr.,POR,SG,-0.2,-0.092,2019
Gary Trent Jr.,POR,SF,2.5,0.089,2020
Gary Trent Jr.,2TM,SG,1.7,0.045,2021
Gary Trent Jr.,TOR,SG,5.6,0.11,2022
Gary Trent Jr.,TOR,SG,4.5,0.102,2023
Gary Trent Jr.,TOR,SG,1.7,0.04,2024
George Hill,IND,PG,4.0,0.152,2012
George Hill,IND,PG,9.7,0.177,2013
George Hill,IND,PG,7.8,0.154,2014
George Hill,IND,PG,5.4,0.203,2015
George Hill,IND,PG,6.2,0.118,2016
George Hill,UTA,PG,5.9,0.182,2017
George Hill,2TM,PG,3.2,0.085,2018
George Hill,2TM,PG,2.8,0.103,2019
George Hill,MIL,PG,5.5,0.21,2020
George Hill,2TM,PG,1.4,0.1,2021
George Hill,MIL,PG,2.3,0.087,2022
George Hill,2TM,SG,1.9,0.107,2023
George King,PHO,SF,0.0,-0.001,2019
George King,DAL,SF,-0.1,-0.296,2022
Georges Niang,IND,PF,-0.3,-0.168,2017
Georges Niang,UTA,PF,0.0,-0.029,2018
Georges Niang,UTA,PF,1.3,0.123,2019
Georges Niang,UTA,PF,1.8,0.092,2020
Georges Niang,UTA,PF,2.6,0.108,2021
Georges Niang,PHI,PF,2.8,0.077,2022
Georges Niang,PHI,PF,2.5,0.078,2023
Georges Niang,CLE,PF,2.4,0.064,2024
Georgios Kalaitzakis,2TM,SF,-0.1,-0.024,2022
Georgios Papagiannis,SAC,C,0.4,0.057,2017
Georgios Papagiannis,2TM,C,0.0,0.005,2018
Gerald Green,NJN,SF,1.2,0.072,2012
Gerald Green,IND,SF,1.3,0.056,2013
Gerald Green,PHO,SG,6.1,0.126,2014
Gerald Green,PHO,SG,1.9,0.065,2015
Gerald Green,MIA,SG,1.7,0.052,2016
Gerald Green,BOS,SF,0.6,0.05,2017
Gerald Green,HOU,SG,2.1,0.107,2018
Gerald Green,HOU,SG,1.9,0.061,2019
Gerald Henderson,CHA,SG,1.0,0.026,2012
Gerald Henderson,CHA,SG,3.3,0.073,2013
Gerald Henderson,CHA,SG,3.6,0.071,2014
Gerald Henderson,CHO,SG,3.6,0.074,2015
Gerald Henderson,POR,SG,2.0,0.068,2016
Gerald Henderson,PHI,SG,2.0,0.059,2017
Gerald Wallace,2TM,SF,4.8,0.112,2012
Gerald Wallace,BRK,SF,3.1,0.072,2013
Gerald Wallace,BOS,SF,1.3,0.043,2014
Gerald Wallace,BOS,SF,0.1,0.014,2015
Gian Clavell,DAL,SG,0.1,0.042,2018
Giannis Antetokounmpo,MIL,SF,1.2,0.031,2014
Giannis Antetokounmpo,MIL,SG,6.2,0.117,2015
Giannis Antetokounmpo,MIL,PG,7.1,0.121,2016
Giannis Antetokounmpo,MIL,SF,12.4,0.21,2017
Giannis Antetokounmpo,MIL,PF,11.9,0.207,2018
Giannis Antetokounmpo,MIL,PF,14.4,0.292,2019
Giannis Antetokounmpo,MIL,PF,11.1,0.279,2020
Giannis Antetokounmpo,MIL,PF,10.2,0.244,2021
Giannis Antetokounmpo,MIL,PF,12.9,0.281,2022
Giannis Antetokounmpo,MIL,PF,8.6,0.204,2023
Giannis Antetokounmpo,MIL,PF,13.2,0.246,2024
Gigi Datome,DET,SF,-0.1,-0.023,2014
Gigi Datome,2TM,SF,0.4,0.095,2015
Gilbert Arenas,MEM,PG,0.4,0.088,2012
Glen Davis,ORL,PF,1.7,0.057,2012
Glen Davis,ORL,PF,0.8,0.035,2013
Glen Davis,2TM,PF,2.0,0.058,2014
Glen Davis,LAC,PF,1.4,0.072,2015
Glen Rice Jr.,WAS,SG,-0.1,-0.043,2014
Glen Rice Jr.,WAS,SG,-0.1,-0.121,2015
Glenn Robinson III,2TM,SG,0.1,0.012,2015
Glenn Robinson III,IND,SF,0.8,0.078,2016
Glenn Robinson III,IND,SF,2.5,0.085,2017
Glenn Robinson III,IND,SF,0.6,0.088,2018
Glenn Robinson III,DET,SF,0.7,0.054,2019
Glenn Robinson III,2TM,SF,2.9,0.078,2020
Glenn Robinson III,SAC,SF,0.3,0.033,2021
Goga Bitadze,IND,C,0.7,0.067,2020
Goga Bitadze,IND,C,1.5,0.129,2021
Goga Bitadze,IND,C,1.9,0.122,2022
Goga Bitadze,2TM,C,1.3,0.141,2023
Goga Bitadze,ORL,C,3.7,0.186,2024
Goran DragiÄ,HOU,PG,5.1,0.139,2012
Goran DragiÄ,PHO,PG,5.7,0.106,2013
Goran DragiÄ,PHO,SG,10.3,0.186,2014
Goran DragiÄ,2TM,PG,6.8,0.123,2015
Goran DragiÄ,MIA,PG,4.7,0.096,2016
Goran DragiÄ,MIA,PG,7.5,0.147,2017
Goran DragiÄ,MIA,PG,5.3,0.106,2018
Goran DragiÄ,MIA,PG,1.6,0.079,2019
Goran DragiÄ,MIA,PG,3.5,0.102,2020
Goran DragiÄ,MIA,PG,1.3,0.048,2021
Goran DragiÄ,2TM,PG,0.4,0.034,2022
Goran DragiÄ,2TM,PG,0.4,0.025,2023
Gordon Hayward,UTA,SF,4.9,0.116,2012
Gordon Hayward,UTA,SF,5.4,0.123,2013
Gordon Hayward,UTA,SF,3.6,0.062,2014
Gordon Hayward,UTA,SF,8.7,0.159,2015
Gordon Hayward,UTA,SF,8.9,0.147,2016
Gordon Hayward,UTA,SF,10.4,0.199,2017
Gordon Hayward,BOS,SF,0.0,0.056,2018
Gordon Hayward,BOS,PF,4.8,0.123,2019
Gordon Hayward,BOS,SF,5.7,0.158,2020
Gordon Hayward,CHO,SF,3.5,0.114,2021
Gordon Hayward,CHO,SF,2.8,0.087,2022
Gordon Hayward,CHO,SF,2.0,0.059,2023
Gordon Hayward,2TM,SF,1.5,0.058,2024
Gorgui Dieng,MIN,C,2.2,0.129,2014
Gorgui Dieng,MIN,C,4.9,0.108,2015
Gorgui Dieng,MIN,C,5.9,0.127,2016
Gorgui Dieng,MIN,PF,5.7,0.103,2017
Gorgui Dieng,MIN,C,2.9,0.105,2018
Gorgui Dieng,MIN,C,2.8,0.132,2019
Gorgui Dieng,2TM,C,2.9,0.129,2020
Gorgui Dieng,2TM,C,2.1,0.185,2021
Gorgui Dieng,ATL,C,1.2,0.155,2022
Gorgui Dieng,SAS,C,0.0,0.001,2023
Gradey Dick,TOR,SG,0.3,0.01,2024
Grant Hill,PHO,SF,1.6,0.055,2012
Grant Hill,LAC,SF,-0.1,-0.014,2013
Grant Jerrett,2TM,PF,-0.1,-0.128,2015
Grant Riller,CHO,PG,0.1,0.177,2021
Grant Williams,BOS,PF,1.6,0.071,2020
Grant Williams,BOS,PF,1.1,0.046,2021
Grant Williams,BOS,PF,5.1,0.13,2022
Grant Williams,BOS,PF,4.4,0.104,2023
Grant Williams,2TM,PF,2.6,0.059,2024
Grayson Allen,UTA,SG,0.0,0.002,2019
Grayson Allen,MEM,SG,1.2,0.082,2020
Grayson Allen,MEM,SG,2.7,0.101,2021
Grayson Allen,MIL,SG,4.2,0.11,2022
Grayson Allen,MIL,SG,5.1,0.123,2023
Grayson Allen,PHO,SG,6.9,0.132,2024
